City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pisco,-13.7,-76.2167,21.03,83,20,4.12,PE,1715096755
1,adamstown,-25.066,-130.1015,21.62,78,72,5.3,PN,1715097003
2,acarau,-2.8856,-40.12,30.85,66,84,5.42,BR,1715097004
3,isafjordur,66.0755,-23.124,6.02,61,75,0.0,IS,1715097004
4,yinchuan,38.4681,106.2731,21.39,12,97,1.56,CN,1715097004
5,bethel,41.3712,-73.414,24.54,42,0,3.6,US,1715096809
6,grytviken,-54.2811,-36.5092,-0.94,76,52,3.8,GS,1715097004
7,pacific grove,36.6177,-121.9166,13.99,78,0,3.13,US,1715097004
8,ta`u,-14.2336,-169.5144,28.88,80,100,4.23,AS,1715097004
9,san antonio de pale,-1.4014,5.6325,27.8,80,98,3.88,GQ,1715097004
10,taro,-8.3862,115.28,24.0,100,93,0.26,ID,1715097005
11,bayji,34.9311,43.487,23.79,29,39,4.95,IQ,1715097005
12,sisimiut,66.9395,-53.6735,-2.89,66,90,0.84,GL,1715097005
13,ushuaia,-54.8,-68.3,2.81,81,20,0.51,AR,1715096953
14,waitangi,-43.9535,-176.5597,9.63,56,23,3.72,NZ,1715097005
15,chernyshevskiy,63.0128,112.4714,-2.25,84,75,5.55,RU,1715097005
16,bredasdorp,-34.5322,20.0403,16.96,84,94,5.24,ZA,1715097005
17,yuzhno-kurilsk,44.0306,145.8556,5.76,99,100,2.64,RU,1715097005
18,fort bragg,35.139,-79.006,27.33,66,20,6.17,US,1715097005
19,puerto ayora,-0.7393,-90.3518,26.98,97,51,1.79,EC,1715097006
20,dikwa,12.024,13.9165,40.92,8,100,8.5,NG,1715097006
21,pressbaum,48.176,16.0477,18.05,80,75,3.09,AT,1715097006
22,lakhtar,22.85,71.7833,35.65,25,0,5.79,IN,1715097006
23,eldorado at santa fe,35.5264,-105.9347,15.77,21,0,3.13,US,1715097006
24,khadan khak,30.7477,67.7085,23.41,26,0,2.55,PK,1715097006
25,west island,-12.1568,96.8225,26.99,78,40,4.12,CC,1715097006
26,constantia,44.1833,28.65,23.38,80,93,6.41,RO,1715097007
27,santiago de cao,-7.9589,-79.2392,18.07,94,75,4.63,PE,1715097007
28,beidaihehaibin,39.8222,119.5181,15.22,43,2,3.77,CN,1715097007
29,filadelfia,39.9523,-75.1638,26.33,45,75,1.54,US,1715096921
30,mitsamiouli,-11.3847,43.2844,27.59,75,100,2.39,KM,1715097007
31,lebu,-37.6167,-73.65,10.12,73,72,3.38,CL,1715097007
32,chengde,40.9725,117.9361,14.2,35,18,0.93,CN,1715097007
33,coahuayana de hidalgo,18.7,-103.6583,30.15,31,100,1.43,MX,1715097007
34,afaahiti,-17.75,-149.2833,23.93,76,88,7.57,PF,1715097008
